estrutura,operacao,min_ns,max_ns,media_ns
E1,acesso,4900,6200,5680.0
E1,inserir,1500,2600,1780.0
E1,transpor,2100,5000,2840.0
E1,mult_escalar,10180400,13547600,11526550.0
E1,soma,20789900,31039600,26439160.0
E1,mult,2408308900,2903804300,2687846460.0
E2,acesso,8400,13700,10490.0
E2,inserir,19500,28000,24630.0
E2,transpor,1300,2200,1710.0
E2,mult_escalar,760587700,977564300,848776150.0
E2,soma,1755642400,2201548700,2006238780.0
E2,mult,21262137900,23668342700,22797613420.0
TRAD,acesso,1100,1700,1400.0
TRAD,inserir,500,1000,770.0
TRAD,transpor,1800,4400,2510.0
TRAD,mult_escalar,310715900,509321400,349365120.0
TRAD,soma,392696200,484855600,434421600.0
TRAD,mult,224056638200,260582057100,247627564400.0
